,chou_fasman,emini,kolaskar_tongaonkar,parker,isoelectric_point,aromaticity,hydrophobicity,stability,length,target
101,1.14,0.87,1.09,-0.6,6.04278564453125,0.0652920962199312,-0.2429553264604813,27.55687285223368,6,1
102,0.848,0.421,1.018,-2.167,9.38262939453125,0.1220472440944882,-0.6090551181102367,38.439370078740176,6,1
103,1.05,0.469,1.107,1.367,10.64727783203125,0.037483266398929,0.6852744310575661,26.835475234270373,6,1
104,0.823,0.478,1.054,-0.733,5.71563720703125,0.0694006309148265,0.0403785488958991,36.49463722397475,6,0
105,1.02,1.655,1.02,1.267,8.58111572265625,0.090543259557344,-0.4241448692152916,35.78092555331991,6,1
106,1.008,0.473,1.099,1.633,8.58111572265625,0.090543259557344,-0.4241448692152916,35.78092555331991,6,0
107,1.042,0.861,1.015,2.533,4.16180419921875,0.0635593220338983,-0.3941619585687376,45.37585216572536,6,1
108,0.63,0.277,1.06,-2.617,6.07855224609375,0.0767326732673267,-0.3336633663366339,34.89232673267326,6,1
109,0.815,1.5719999999999998,1.009,0.933,8.34722900390625,0.0846153846153846,-0.3117948717948718,33.05874358974359,6,1
110,0.907,2.22,0.963,-0.383,8.34722900390625,0.0846153846153846,-0.3117948717948718,33.05874358974359,6,1
111,0.765,0.8390000000000001,0.972,0.55,8.34722900390625,0.0846153846153846,-0.3117948717948718,33.05874358974359,6,1
112,0.952,3.654,1.05,2.05,8.34722900390625,0.0846153846153846,-0.3117948717948718,33.05874358974359,6,1
113,0.807,2.556,0.934,1.4169999999999998,8.34722900390625,0.0846153846153846,-0.3117948717948718,33.05874358974359,6,1
114,1.162,0.345,1.129,1.9,9.22796630859375,0.0859538784067086,0.2272536687631039,55.85997903563953,6,1
115,1.06,0.845,1.062,0.6,4.61224365234375,0.0642023346303501,0.1988326848249024,23.16692607003893,6,1
116,1.048,0.921,1.023,0.133,6.56695556640625,0.081081081081081,-0.1991891891891896,36.56086486486485,6,1
117,1.047,1.723,1.057,2.5,6.56695556640625,0.081081081081081,-0.1991891891891896,36.56086486486485,6,1
118,1.1,0.647,1.044,0.867,6.41961669921875,0.0993377483443708,-0.5582781456953648,21.075165562913902,6,1
119,1.023,0.755,1.046,3.717,9.12957763671875,0.1020408163265306,-0.3757653061224495,23.08545918367348,6,1
120,1.14,1.327,1.038,2.617,7.95916748046875,0.0525502318392581,-0.0913446676970636,47.92534775888735,6,1
121,0.962,1.337,0.979,4.017,7.95916748046875,0.0525502318392581,-0.0913446676970636,47.92534775888735,6,1
122,1.433,1.622,1.031,3.5,7.95916748046875,0.0525502318392581,-0.0913446676970636,47.92534775888735,6,1
123,1.167,1.671,1.083,2.3,7.95916748046875,0.0525502318392581,-0.0913446676970636,47.92534775888735,6,1
124,1.003,0.8440000000000001,0.979,1.45,6.77069091796875,0.0925553319919517,-0.0311871227364185,44.633601609657966,6,1
125,0.903,0.208,1.117,-2.217,4.85162353515625,0.0925553319919517,0.7187122736418523,47.26559356136825,6,1
126,1.077,7.44,0.858,7.0829999999999975,8.90960693359375,0.1,0.0236486486486482,43.79447972972997,6,0
127,0.923,0.304,1.021,0.417,8.90960693359375,0.1,0.0236486486486482,43.79447972972997,6,0
128,0.853,0.481,1.069,-0.85,8.90960693359375,0.1,0.0236486486486482,43.79447972972997,6,1
129,1.098,4.859,0.954,3.983,8.90960693359375,0.1,0.0236486486486482,43.79447972972997,6,0
130,0.96,1.218,1.017,1.683,8.90960693359375,0.1,0.0236486486486482,43.79447972972997,6,0
131,0.8,1.845,1.019,0.633,8.90960693359375,0.1,0.0236486486486482,43.79447972972997,6,1
132,0.865,0.585,1.012,2.9,5.52093505859375,0.0949720670391061,-0.5357541899441342,34.75030726256982,6,1
133,1.147,3.205,0.98,2.333,8.44757080078125,0.0983606557377049,0.1065573770491801,53.259426229508286,6,0
134,1.077,0.843,1.027,1.4,8.44757080078125,0.0983606557377049,0.1065573770491801,53.259426229508286,6,1
135,1.112,0.56,1.148,-1.217,8.27203369140625,0.0629370629370629,-0.5307692307692305,58.12820512820522,6,1
136,1.308,0.54,1.0759999999999998,3.25,5.17291259765625,0.0625,-0.4140625,48.23125,6,0
137,1.053,0.7829999999999999,1.002,0.95,7.83062744140625,0.0165289256198347,-0.4404958677685954,45.81818181818183,6,1
138,1.048,1.182,0.963,4.1,7.83062744140625,0.0165289256198347,-0.4404958677685954,45.81818181818183,6,1
139,0.787,1.139,0.994,3.367,9.86920166015625,0.0380952380952381,-0.9295238095238104,53.02000000000001,6,1
140,1.147,1.378,1.008,2.667,9.86920166015625,0.0380952380952381,-0.9295238095238104,53.02000000000001,6,1
141,0.943,1.206,0.984,3.133,6.42877197265625,0.051490514905149,-0.0238482384823848,38.44796747967479,6,1
142,0.937,1.163,1.055,2.733,11.75628662109375,0.0636363636363636,-0.7354545454545459,61.91999999999997,6,1
143,0.993,1.296,0.977,3.883,5.48834228515625,0.070754716981132,-0.1113207547169812,47.890566037735866,6,1
144,0.997,0.908,1.067,1.467,5.48834228515625,0.070754716981132,-0.1113207547169812,47.890566037735866,6,1
145,0.872,0.4,1.12,-4.917,5.48834228515625,0.070754716981132,-0.1113207547169812,47.890566037735866,6,1
146,0.88,0.5660000000000001,1.036,0.8,5.10736083984375,0.0887918486171761,-0.282678311499272,43.506695778748295,6,1
147,1.128,4.651,0.93,6.132999999999999,5.82720947265625,0.10828025477707,-0.3653927813163483,41.18985138004243,6,1
148,1.112,0.892,0.994,4.967,8.49249267578125,0.0591581342434584,-1.1298065984072811,58.79159271899921,6,1
149,0.948,0.183,1.089,-2.75,9.55609130859375,0.1171875,-0.5199218750000001,39.36953125000001,6,1
150,1.073,2.926,0.943,4.6,8.71551513671875,0.0703125,0.0710937500000001,49.10117187499999,6,0
151,1.05,1.774,1.0,1.467,8.71551513671875,0.0703125,0.0710937500000001,49.10117187499999,6,1
152,1.087,0.8320000000000001,0.951,4.767,8.72991943359375,0.0560224089635854,-0.9207282913165254,46.65238095238095,6,1
153,1.042,1.891,0.8959999999999999,4.033,9.43975830078125,0.1392757660167131,0.5540389972144857,35.58055710306406,6,1
154,0.73,0.102,1.169,-2.033,9.43975830078125,0.1392757660167131,0.5540389972144857,35.58055710306406,6,0
155,0.745,0.314,1.057,-2.55,9.43975830078125,0.1392757660167131,0.5540389972144857,35.58055710306406,6,0
156,1.043,1.856,0.939,6.2170000000000005,9.00909423828125,0.1030640668523676,-0.5649025069637885,13.246545961002774,6,1
157,1.148,0.623,0.958,2.75,6.64849853515625,0.0897832817337461,0.4501547987616097,30.45049535603714,6,1
158,1.1,0.6729999999999999,0.989,2.45,10.11370849609375,0.0687203791469194,-1.0265402843601878,52.28014218009481,6,1
159,0.913,0.229,1.093,-0.35,10.11370849609375,0.0687203791469194,-1.0265402843601878,52.28014218009481,6,1
160,0.877,1.026,1.164,-1.967,9.26422119140625,0.074074074074074,0.5530864197530864,31.77296296296296,6,1
161,0.888,0.753,0.948,2.667,11.12701416015625,0.0514705882352941,-0.579411764705883,49.00147058823529,6,1
162,0.86,1.704,0.996,2.117,4.43695068359375,0.0759493670886076,1.2670886075949364,13.974683544303806,6,1
163,0.828,0.438,1.081,2.317,5.64471435546875,0.0702987697715289,-0.3124780316344466,28.06731107205623,6,1
164,0.865,0.544,1.0490000000000002,-0.3,5.64471435546875,0.0702987697715289,-0.3124780316344466,28.06731107205623,6,1
165,1.023,0.855,1.005,0.617,5.00408935546875,0.1270903010033444,-0.3983277591973245,31.7257525083612,6,1
166,1.3219999999999998,4.4110000000000005,0.92,5.9170000000000025,9.03070068359375,0.0874200426439232,-0.2637526652452024,40.689989339019306,6,1
167,0.8320000000000001,0.5539999999999999,1.096,-2.083,6.23065185546875,0.0796296296296296,-0.1127777777777777,45.32351851851856,6,1
168,1.127,1.466,0.969,3.817,9.52679443359375,0.0815217391304347,-0.8260869565217392,41.75217391304345,6,1
169,1.042,1.709,0.996,1.917,6.09967041015625,0.0922619047619047,0.7044642857142868,40.93363095238095,6,1
170,0.938,1.361,0.945,5.117,4.08087158203125,0.0,-1.2682119205298006,92.23973509933774,6,1
171,0.902,1.633,0.935,5.55,4.08087158203125,0.0,-1.2682119205298006,92.23973509933774,6,1
172,1.038,0.933,0.939,5.2,4.08087158203125,0.0,-1.2682119205298006,92.23973509933774,6,1
173,1.3019999999999998,1.557,0.989,4.433,9.48004150390625,0.045822102425876,-0.9161051212938028,72.19427897574172,6,1
174,0.912,0.586,1.0490000000000002,1.3330000000000002,7.63787841796875,0.0837563451776649,-0.1428934010152285,61.1096700507615,6,1
175,1.163,0.898,1.009,-0.7829999999999999,7.65179443359375,0.0788804071246819,-0.124173027989822,57.98501272264634,6,1
176,0.937,0.34,0.973,-3.533,5.63861083984375,0.0830188679245283,-0.0135849056603773,37.453792452830186,6,1
177,0.872,1.073,1.013,2.517,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,6,0
178,1.005,0.642,0.978,1.2,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,6,0
179,0.775,0.562,1.088,-1.5,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,6,0
180,1.072,0.387,1.051,0.8170000000000001,6.18475341796875,0.0722100656455142,-0.6814004376367612,45.24048140043761,6,0
